run_id,chem_id,section_no,source,roundtrip,edit_similarity,chrf,ok
run-1,023116,10,"화학적 안정성 및 유해 반응의 가능성: 상온상압조건에서 안정함|가열시 용기가 폭발할 수 있음|일부는 탈 수 있으나 쉽게 점화하지 않음|화재시 자극성, 독성 가스를 발생할 수 있음|물질의 흡입은 유해할 수 있음|일부 액체는 현기증, 질식을 유발하는 증기는 발생할 수 있음
피해야 할 조건: 열, 스파크, 화염 등 점화원
피해야 할 물질: 가연성 물질|자극성, 독성 가스
분해시 생성되는 유해물질: 자료없음","화학적 안정성 및 유해 반응의 가능성: 상온상압조건에서 안정함|가열시 용기가 폭발할 수 있음|일부는 탈 수 있으나 쉽게 점화하지 않음|화재시 자극성, 독성 가스를 발생할 수 있음|물질의 흡입은 유해할 수 있음|일부 액체는 현기증, 질식을 유발하는 증기는 발생할 수 있음
피해야 할 조건: 열, 스파크, 화염 등 점화원
피해야 할 물질: 가연성 물질|자극성, 독성 가스
분해시 생성되는 유해물질: 자료없음",1.000000,1.000000,True
run-1,010792,5,"적절한(부적절한) 소화제: 자료없음
화학물질로부터 생기는 특정 유해성: 자료없음
화재진압시 착용할 보호구 및 예방조치: 자료없음","적절한(부적절한) 소화제: 자료없음
화학물질로부터 생기는 특정 유해성: 자료없음
화재진압시 착용할 보호구 및 예방조치: 자료없음",1.000000,1.000000,True
run-1,027907,10,"화학적 안정성 및 유해 반응의 가능성: 자료없음
피해야 할 조건: 자료없음
피해야 할 물질: 자료없음
분해시 생성되는 유해물질: 자료없음","화학적 안정성 및 유해 반응의 가능성: 자료없음
피해야 할 조건: 자료없음
피해야 할 물질: 자료없음
분해시 생성되는 유해물질: 자료없음",1.000000,1.000000,True
run-1,044694,2,"유해성·위험성 분류: 자료없음
그림문자: 자료없음
신호어: 자료없음
유해·위험문구: 자료없음
예방: 자료없음
대응: 자료없음
저장: 자료없음
폐기: 자료없음
유해성·위험성 분류기준에 포함되지 않는 기타 유해성·위험성(예. 분진폭발 위험성): 자료없음","유해성·위험성 분류: 자료없음
그림문자: 자료없음
신호어: 자료없음
유해·위험문구: 자료없음
예방: 자료없음
대응: 자료없음
저장: 자료없음
폐기: 자료없음
유해성·위험성 분류기준에 포함되지 않는 기타 유해성·위험성(예. 분진폭발 위험성): 자료없음",1.000000,1.000000,True
run-1,003566,1,"제품명: Dibenzothiophene
제품의 권고 용도: 자료없음
제품의 사용상의 제한: 자료없음
회사명: 자료없음
주소: 자료없음
긴급전화번호: 자료없음","제품명: Dibenzothiophene
제품의 권고 용도: 자료없음
제품의 사용상의 제한: 자료없음
회사명: 자료없음
주소: 자료없음
긴급전화번호: 자료없음",1.000000,1.000000,True
run-1,005310,6,"인체를 보호하기 위해 필요한 조치사항 및 보호구: 자료없음
환경을 보호하기 위해 필요한 조치사항: 자료없음
정화 또는 제거 방법: 자료없음","인체를 보호하기 위해 필요한 조치사항 및 보호구: 자료없음
환경을 보호하기 위해 필요한 조치사항: 자료없음
정화 또는 제거 방법: 자료없음",1.000000,1.000000,True
run-1,037153,1,"제품명: 4-(4-메틸-3-펜텐-1-일)-3-사이클로헥센-1-카복살데이히드
제품의 권고 용도: 자료없음
제품의 사용상의 제한: 자료없음
회사명: 자료없음
주소: 자료없음
긴급전화번호: 자료없음","제품명: 4-(4-메틸-3-펜텐-1-일)-3-사이클로헥센-1-카복살데이히드
제품의 권고 용도: 자료없음
제품의 사용상의 제한: 자료없음
회사명: 자료없음
주소: 자료없음
긴급전화번호: 자료없음",1.000000,1.000000,True
run-1,006829,8,"국내규정: |자료없음
ACGIH 규정: 자료없음
생물학적 노출기준: 자료없음
기타 노출기준: 자료없음
적절한 공학적 관리: 자료없음
호흡기 보호: |노출되는 물질의 물리화학적 특성에 맞는 산업안전보건공단의 인증을 필한 호흡용 보호구를 착용 하시오|-안면부 여과식 방진마스크 또는 공기여과식 방진마스크(고효율미립자여과재)또는 전동팬 부착 방진마스크(분진, 미스트, 흄용 여과재)|기체/액체물질의 경우 다음과 같은 호흡기 보호구가 권고됨 
-격리식 전면형 방독마스크(유기화합물용(산성가스인 경우 산성가스용)) 또는 격리식 반면형 방독마스크(유기화합물용(산성가스인 경우 산성가스용)) 또는 직결식 전면형 방독 마스크(유기화합물용(산성가스인 경우 산성가스용)) 또는 반면형 방독 마스크(유기화합물용(산성가스인 경우 산성가스용)) 또는 전동식 방독마스크|산소가 부족한 경우(&amp;lt;19.6%), 송기마스크, 혹은 자급식 호흡보호구를 착용하시오
눈 보호: 자료없음
손 보호: 자료없음
신체 보호: 자료없음","국내규정: |자료없음
ACGIH 규정: 자료없음
생물학적 노출기준: 자료없음
기타 노출기준: 자료없음
적절한 공학적 관리: 자료없음
호흡기 보호: |노출되는 물질의 물리화학적 특성에 맞는 산업안전보건공단의 인증을 필한 호흡용 보호구를 착용 하시오|-안면부 여과식 방진마스크 또는 공기여과식 방진마스크(고효율미립자여과재)또는 전동팬 부착 방진마스크(분진, 미스트, 흄용 여과재)|기체/액체물질의 경우 다음과 같은 호흡기 보호구가 권고됨 
-격리식 전면형 방독마스크(유기화합물용(산성가스인 경우 산성가스용)) 또는 격리식 반면형 방독마스크(유기화합물용(산성가스인 경우 산성가스용)) 또는 직결식 전면형 방독 마스크(유기화합물용(산성가스인 경우 산성가스용)) 또는 반면형 방독 마스크(유기화합물용(산성가스인 경우 산성가스용)) 또는 전동식 방독마스크|산소가 부족한 경우(&amp;lt;19.6%), 송기마스크, 혹은 자급식 호흡보호구를 착용하시오
눈 보호: 자료없음
손 보호: 자료없음
신체 보호: 자료없음",1.000000,1.000000,True
run-1,025961,4,"눈에 들어갔을 때: 자료없음
피부에 접촉했을 때: 자료없음
흡입했을 때: 자료없음
먹었을 때: 자료없음
기타 의사의 주의사항: 자료없음","눈에 들어갔을 때: 자료없음
피부에 접촉했을 때: 자료없음
흡입했을 때: 자료없음
먹었을 때: 자료없음
기타 의사의 주의사항: 자료없음",1.000000,1.000000,True
run-1,040227,1,"제품명: Potassium glycerate
제품의 권고 용도: 자료없음
제품의 사용상의 제한: 자료없음
회사명: 자료없음
주소: 자료없음
긴급전화번호: 자료없음","제품명: Potassium glycerate
제품의 권고 용도: 자료없음
제품의 사용상의 제한: 자료없음
회사명: 자료없음
주소: 자료없음
긴급전화번호: 자료없음",1.000000,1.000000,True
run-1,004280,13,"폐기방법: 폐기물관리법에 명시된 경우 규정에 따라 내용물 및 용기를 폐기하시오.
폐기시 주의사항: 자료없음","폐기방법: 폐기물관리법에 명시된 경우 규정에 따라 내용물 및 용기를 폐기하시오.
폐기시 주의사항: 자료없음",1.000000,1.000000,True
run-1,035288,12,"어류: 자료없음
갑각류: 자료없음
조류: 자료없음
잔류성: 자료없음
분해성: 자료없음
농축성: 자료없음
생분해성: 자료없음
토양이동성: 자료없음
기타 유해 영향: 자료없음","어류: 자료없음
갑각류: 자료없음
조류: 자료없음
잔류성: 자료없음
분해성: 자료없음
농축성: 자료없음
생분해성: 자료없음
토양이동성: 자료없음
기타 유해 영향: 자료없음",1.000000,1.000000,True
